voltage,velocity,acceleration
1.554978,0.693199,0.111184
1.560074,0.695472,0.116036
1.564972,0.697739,0.113288
1.569974,0.700006,0.108033
1.575221,0.702291,0.120078
1.579978,0.704558,0.113305
1.584979,0.706825,0.107969
1.590230,0.709110,0.120358
1.594975,0.711376,0.113118
1.599984,0.713644,0.113541
1.604978,0.715912,0.113410
1.609977,0.718181,0.113394
1.614978,0.720450,0.108068
1.620228,0.722736,0.114327
1.625227,0.725020,0.114213
1.630226,0.727302,0.120160
1.634974,0.729566,0.113142
1.639978,0.731832,0.113278
1.644978,0.734099,0.113332
1.649978,0.736366,0.113396
1.654977,0.738634,0.113331
1.659980,0.740903,0.113514
1.664977,0.743172,0.113392
1.669980,0.745442,0.113447
1.674982,0.747713,0.108019
1.680237,0.750000,0.120427
1.684985,0.752268,0.113421
1.689985,0.754538,0.108083
1.695234,0.754538,NaN
